Номер маршрута;Начало маршрута;Конец маршрута;Протяженность маршрута, км;Наличие системы безналичной оплаты проезда;Наличие автоматического объявления остановки;Вид транспорта;Дата введения маршрута;Время в пути, мин
135;Центральный рынок 2;ДНТ Тура;37.56;да;да;Автобус;10.09.2011;47
140;Центральный рынок 2; с/о Сосновая поляна 2;61.45;да;да;Автобус;10.09.2011;
144;з?д Медоборудования;с/о Яровское;49.07;да;да;Автобус;10.09.2011;74
145;з?д Медоборудования;с/о Самотлор;55.34;да;да;Автобус;10.09.2011;
145к;СК Здоровье;с/о Самотлор;37.36;да;да;Автобус;01.01.2021;68
146;Государственный Аграрный Университет;с/о Плодовое;46.58;да;да;Автобус;10.09.2011;
147;з?д Медоборудования;с/о Сосновая Поляна 2;68.38;да;да;Автобус;10.09.2011;90
151;Центральный рынок 2;с/о Лесная поляна;36.95;да;да;Автобус;10.09.2011;
151к;з-д Медоборудования;с/о Лесная поляна;26.55;да;да;Автобус;01.01.2021;57
156;Областная научная библиотека;с/о Липовый остров;44.75;да;да;Автобус;10.09.2011;70
;;;;;;;;
